Philosopher ID,Total Execution Time (s),Execution Count,Average Execution Time (s)
0,1384.31,449,3.0831
1,1337.34,448,2.98512
2,1346.32,449,2.99848
3,1373.31,448,3.06542
4,1311.32,449,2.92053
5,1363.27,448,3.043
6,1359.34,449,3.02749
7,1320.31,448,2.94712
8,1289.33,449,2.87156
9,1377.31,448,3.07435
10,1313.25,449,2.92484
11,1352.32,448,3.01857
12,1359.31,449,3.02742
13,1272.34,448,2.84004
14,1327.31,449,2.95614
15,1301.31,448,2.90472
16,1382.34,449,3.07872
17,1397.28,448,3.11892
18,1289.28,449,2.87145
19,1273.32,448,2.84224
20,1317.33,449,2.93392
21,1303.3,448,2.90916
22,1307.32,449,2.91162
23,1241.35,448,2.77088
24,1335.31,449,2.97397
25,1323.34,448,2.95388
26,1258.3,449,2.80246
27,1298.29,448,2.89798
28,1310.38,449,2.91844
29,1294.27,448,2.889
30,1297.34,449,2.8894
31,1423.34,448,3.17711
32,1350.32,448,3.01411
